title,genres,description,year,rating
The Matrix,Sci-Fi Action,"A hacker discovers reality is a simulation and joins a rebellion against intelligent machines.",1999,8.7
Inception,Sci-Fi Thriller,"A skilled thief enters dreams to steal secrets and attempts one final mission involving idea implantation.",2010,8.8
Interstellar,Sci-Fi Drama,"A team travels through a wormhole to find a new home for humanity as Earth becomes uninhabitable.",2014,8.6
The Dark Knight,Action Crime,"Batman faces the Joker, a criminal mastermind who creates chaos in Gotham City.",2008,9.0
Black Panther,Action Superhero,"A new king of Wakanda must defend his nation and identity from a powerful challenger.",2018,7.3
Spider-Man Into the Spider-Verse,Animation Superhero,"A teenager becomes Spider-Man and joins heroes from different dimensions to save the multiverse.",2018,8.4
Toy Story,Animation Family,"A cowboy doll feels threatened when a new space ranger toy becomes the child's favorite.",1995,8.3
Finding Nemo,Animation Family,"A clownfish crosses the ocean to rescue his son with help from a forgetful friend.",2003,8.2
Coco,Animation Family,"A young musician enters the Land of the Dead and learns about family, memory, and identity.",2017,8.4
The Lion King,Animation Drama,"A young lion prince must accept his responsibility and reclaim his place as king.",1994,8.5
The Social Network,Drama Biography,"A college student creates a social networking platform that changes technology and friendship.",2010,7.8
Moneyball,Drama Sports,"A baseball manager uses data analytics to build a competitive team with limited resources.",2011,7.6
The Big Short,Drama Finance,"Investors discover weaknesses in the housing market before the financial crisis.",2015,7.8
Hidden Figures,Drama Biography,"Three Black women mathematicians at NASA make critical contributions to the space program.",2016,7.8
The Imitation Game,Drama Biography,"A mathematician helps break wartime codes while facing personal and social challenges.",2014,8.0
La La Land,Romance Musical,"An aspiring actress and a jazz musician pursue dreams and love in Los Angeles.",2016,8.0
The Notebook,Romance Drama,"A couple's lifelong love story is challenged by class differences and time.",2004,7.8
Crazy Rich Asians,Romance Comedy,"A professor discovers her boyfriend belongs to one of the wealthiest families in Singapore.",2018,6.9
The Proposal,Romance Comedy,"A demanding editor convinces her assistant to marry her to avoid deportation.",2009,6.7
Knives Out,Mystery Comedy,"A detective investigates the suspicious death of a wealthy crime novelist.",2019,7.9
Gone Girl,Mystery Thriller,"A woman's disappearance turns into a dark examination of marriage, media, and deception.",2014,8.1
Parasite,Thriller Drama,"A poor family infiltrates a wealthy household, exposing class tension and hidden danger.",2019,8.5
Get Out,Horror Thriller,"A young man uncovers disturbing secrets during a visit to his girlfriend's family.",2017,7.8
A Quiet Place,Horror Thriller,"A family must live in silence to survive creatures that hunt by sound.",2018,7.5
The Conjuring,Horror Mystery,"Paranormal investigators help a family terrorized by a dark presence in their farmhouse.",2013,7.5
