title,categories,description,difficulty,popularity
Photography,Creative Visual,"Capture moments and scenes using cameras while learning composition, lighting, and editing techniques.",4,8.5
Gardening,Outdoor Nature,"Grow plants, flowers, and vegetables while connecting with nature and creating a living space.",3,8.2
Painting,Creative Art,"Express ideas and emotions through color, brushwork, and visual composition on canvas or other surfaces.",5,7.8
Hiking,Outdoor Fitness,"Explore trails and natural landscapes on foot to build endurance and enjoy scenic environments.",2,9.0
Cooking,Creative Lifestyle,"Prepare meals by combining ingredients, techniques, and flavors from different culinary traditions.",4,9.2
Chess,Intellectual Games,"A strategic board game that develops critical thinking, planning, and pattern recognition skills.",6,8.0
Knitting,Creative Craft,"Create fabric items using yarn and needles, producing scarves, sweaters, and decorative pieces.",3,7.5
Running,Fitness Outdoor,"Build cardiovascular fitness by jogging or sprinting on roads, tracks, or trails.",2,8.8
Guitar,Creative Music,"Learn to play melodies and chords on a stringed instrument across many musical genres.",5,8.4
Yoga,Fitness Wellness,"Practice poses, breathing, and mindfulness to improve flexibility, strength, and mental calm.",3,8.6
Bird Watching,Outdoor Nature,"Observe and identify birds in their habitats using binoculars and field guides.",2,7.2
Woodworking,Creative Craft,"Shape and join wood to build furniture, decor, and functional handmade objects.",7,7.6
Baking,Creative Lifestyle,"Make breads, pastries, and desserts through precise mixing, timing, and oven techniques.",4,8.3
Cycling,Fitness Outdoor,"Ride bicycles for exercise, commuting, or adventure across varied terrain and distances.",3,8.1
Reading,Intellectual Leisure,"Explore stories, ideas, and knowledge through books, articles, and long-form writing.",1,9.5
Swimming,Fitness Outdoor,"Move through water using strokes that build full-body strength and cardiovascular health.",3,8.0
Calligraphy,Creative Art,"Create decorative handwriting and lettering with specialized pens, ink, and careful strokes.",5,6.8
Rock Climbing,Outdoor Fitness,"Scale natural rock faces or indoor walls using strength, technique, and problem-solving.",7,7.9
Pottery,Creative Craft,"Shape clay on a wheel or by hand to create bowls, vases, and sculptural ceramic pieces.",6,7.4
Meditation,Wellness Intellectual,"Train attention and awareness through focused breathing, stillness, and guided reflection.",2,8.7
Fishing,Outdoor Leisure,"Catch fish using rods, bait, and patience while spending time near lakes, rivers, or oceans.",3,7.7
Dancing,Creative Fitness,"Move rhythmically to music through styles like ballet, hip-hop, salsa, or ballroom.",4,8.2
Origami,Creative Craft,"Fold paper into intricate shapes and figures using precise geometric folding patterns.",4,7.0
Volunteering,Social Lifestyle,"Contribute time and skills to community causes, charities, and local organizations.",2,8.4
Astronomy,Outdoor Science,"Study stars, planets, and celestial events using telescopes, charts, and night-sky observation.",5,7.3
